titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
Alternance - Développeur Full Stack F/H,Groupe Roullier,Alternance,Saint-Malo,https://www.welcometothejungle.com/fr/companies/groupe-roullier/jobs/alternance-developpeur-full-stack-f-h_saint-malo,2026-03-24,WTTJ,développeur python,
Alternance - Développeur Full Stack F/H - Charenton le Pont,Groupe Bpce,Alternance,Charenton-Le-Pont,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-developpeur-full-stack-f-h-charenton-le-pont_charenton-le-pont_GB_jZ5D7km,2026-03-24,WTTJ,développeur python,
Développeuse / Développeur Java - Alternance,Capgemini,Alternance,Lille,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/developpeuse-developpeur-java-alternance_lille,2026-03-24,WTTJ,développeur python,
Alternance - 1 an - Développeur Full Stack Node Js F/H,Bpce Infogerance Technologies,Alternance,Charenton-Le-Pont,https://www.welcometothejungle.com/fr/companies/bpce-infogerance-technologies/jobs/alternance-1-an-developpeur-full-stack-node-js-f-h_charenton-le-pont,2026-03-24,WTTJ,développeur python,
Stage - 6 mois - Développeur Power BI F/H,Natixis,Stage,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/stage-6-mois-developpeur-power-bi-f-h_paris_NATIX_J65pRJ6,2026-03-24,WTTJ,développeur python,
STAGE CESURE – Ingénieur Système – Développement d’outillages en Python - F/H,Thales,Stage,Élancourt,https://www.welcometothejungle.com/fr/companies/thales/jobs/stage-cesure-ingenieur-systeme-developpement-d-outillages-en-python-f-h_elancourt,2026-03-24,WTTJ,développeur python,
Stage - Développement angular connaissance C# en Finance de marché (H/F),Meritis,Stage,Paris,https://www.welcometothejungle.com/fr/companies/meritis/jobs/stage-developpement-angular-connaissance-c-en-finance-de-marche-h-f_paris,2026-03-24,WTTJ,développeur python,
Stage - conception et développement d'une interface web de formalisation et de visualisation de data F/H,Safran,Stage,Itteville,https://www.welcometothejungle.com/fr/companies/safran/jobs/stage-conception-et-developpement-d-une-interface-web-de-formalisation-et-de-visualisation-de-data-f-h_itteville,2026-03-24,WTTJ,développeur python,
Stage – Marketing Digital (hors CM) & Web development F/H,Etyo,Stage,Paris,https://www.welcometothejungle.com/fr/companies/etyo/jobs/stage-marketing-digital-hors-cm-web-development-f-h_paris_ETYO_QRw7P5k,2026-03-24,WTTJ,développeur python,
Stage FE - Software Engineer Full stack  (H-F),Arcane,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arcane/jobs/stage-fe-software-engineer-full-stack-h-f_paris_ARCAN_DqjO9A0,2026-03-24,WTTJ,développeur python,
AI Engineer - Stage de fin d'études,Recept Ai,Stage,Paris,https://www.welcometothejungle.com/fr/companies/recept-ai/jobs/ai-engineer-stage_paris,2026-03-24,WTTJ,développeur python,
Alternance - 1 an - Agentic et IA Générative F/H,Natixis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/alternance-1-an-agentic-et-ia-generative-f-h_paris-13e-arrondissement,2026-03-24,WTTJ,développeur python,
Software Engineer - Stage (F/H),Greenerwave,Stage,Paris,https://www.welcometothejungle.com/fr/companies/greenerwave/jobs/software-engineer-stage-f-h_paris_GREEN_3lL079o,2026-03-24,WTTJ,développeur python,
Ingénieur Digital - Stage H/F,Assystem Eos Energie France,Stage,Saint-Paul-Trois-Châteaux,https://www.welcometothejungle.com/fr/companies/assystem-eos-energie-france/jobs/ingenieur-digital-stage-h-f_pierrelatte,2026-03-24,WTTJ,développeur python,
Ingénieur Digital - Stage H/F,Assystem Eos Energie France,Stage,Flamanville,https://www.welcometothejungle.com/fr/companies/assystem-eos-energie-france/jobs/ingenieur-digital-stage-h-f_cherbourg-en-cotentin,2026-03-24,WTTJ,développeur python,
Alternance - 1 an - Gestion Quantitative & Développement IT F/H,Natixis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/alternance-1-an-gestion-quantitative-developpement-it-f-h_paris_NATIX_pPjOb8W,2026-03-24,WTTJ,développeur python,
Data engineer Intégrations - RSE /  Impact de la mode - stage,Waro 1,Stage,Paris,https://www.welcometothejungle.com/fr/companies/waro-1/jobs/data-engineer-integrations-stage_paris,2026-03-24,WTTJ,développeur python,
Alternance ingénieur IA F/H,Bouygues Telecom,Alternance,Meudon,https://www.welcometothejungle.com/fr/companies/bouygues-telecom/jobs/alternance-ingenieur-ia-f-h_meudon_BT_3pRjJ5b,2026-03-24,WTTJ,développeur python,
Consultant Data Engineer - Stage FE (H-F),Arcane,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arcane/jobs/consultant-data-engineer-stage-fe-h-f_paris,2026-03-24,WTTJ,développeur python,
#Stage IA & Machine learning (F/H),Netceler,Stage,Alixan,https://www.welcometothejungle.com/fr/companies/netceler/jobs/stage-ia-machine-learning-f-h_alixan,2026-03-24,WTTJ,développeur python,
Analyste modélisation et gestion du risque (F/H) - Alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/analyste-modelisation-et-gestion-du-risque-f-h-alternance_nanterre,2026-03-24,WTTJ,développeur python,
Analyste énergie – IRVE - Stage (H/F),Atlante France Sas,Stage,Paris,https://www.welcometothejungle.com/fr/companies/atlante-france-sas/jobs/analyste-energie-irve-stage-h-f_paris,2026-03-24,WTTJ,développeur python,
Consultant Data Analyst / Scientist - Stage FE (H-F),Arcane,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arcane/jobs/consultant-data-analyst-scientist-stage-fe-h-f_paris_ARCAN_6lqKbP7,2026-03-24,WTTJ,développeur python,
Alternance -  Assistant Gestion d'actif Multi Asset - H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-assistant-gestion-d-actif-multi-asset-h-f_paris,2026-03-24,WTTJ,développeur python,
Alternance - Recherche Quantitative - H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-recherche-quantitative-h-f_paris,2026-03-24,WTTJ,développeur python,
Alternance - Chargé d'Etudes et d'Essais en Détection Air et Surface pour Sous-Marins (H/F),Naval Group Fr,Alternance,Ollioules,https://www.welcometothejungle.com/fr/companies/naval-group-fr/jobs/alternance-charge-d-etudes-et-d-essais-en-detection-air-et-surface-pour-sous-marins-h-f_ollioules_NGF_00DAGjz,2026-03-24,WTTJ,développeur python,
Alternance - 1 an - Analyste Quantitatif F/H,Natixis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/natixis/jobs/professeur-particulier-de-musique-versailles_versailles,2026-03-24,WTTJ,développeur python,
Analyste Pricing E-commerce (F/H) - en alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/analyste-pricing-e-commerce-f-h-en-alternance_massy,2026-03-24,WTTJ,développeur python,
ALTERNANCE -  Automatisation des campagnes de validation des produits cyber H/F,Naval Group Fr,Alternance,Ollioules,https://www.welcometothejungle.com/fr/companies/naval-group-fr/jobs/alternance-automatisation-des-campagnes-de-validation-des-produits-cyber-h-f_ollioules,2026-03-24,WTTJ,développeur python,
STAGE - Prototypage capteurs & intégration traitement du signal ML/IA (F/H),Essilorluxottica,Stage,Créteil,https://www.welcometothejungle.com/fr/companies/essilorluxottica/jobs/stage-prototypage-capteurs-integration-traitement-du-signal-ml-ia-f-h_creteil_EF_996OrR2,2026-03-24,WTTJ,développeur python,
Analyste Data Marketing (F/H) en Alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/analyste-data-marketing-f-h-en-alternance_nanterre,2026-03-24,WTTJ,développeur python,
Ingénieure/Ingénieur physique atmosphère - Stage,Capgemini,Stage,Toulouse,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/ingenieure-ingenieur-physique-atmosphere-stage_toulouse_CAPGE_VxAz5Gk,2026-03-24,WTTJ,développeur python,
Alternance - Assistant(e) Pilotage Financier H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-assistant-pilotage-financier-h-f_montrouge,2026-03-24,WTTJ,développeur python,
Alternance Ingénieur Nucléaire Méthodes Innovantes F/H,Framatome 1,Alternance,Lyon,https://www.welcometothejungle.com/fr/companies/framatome-1/jobs/alternance-ingenieur-nucleaire-methodes-innovantes-f-h_lyon,2026-03-24,WTTJ,développeur python,
Data analyst - risques opérationnels (F/H) alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-analyst-risques-operationnels-f-h-alternance_nanterre,2026-03-24,WTTJ,développeur python,
Solution Engineer stage- [février 2026] - H/F,Armis,Stage,Paris,https://www.welcometothejungle.com/fr/companies/armis/jobs/solution-engineer-stage-fevrier-2026-h-f_paris,2026-03-24,WTTJ,développeur python,
Ingénieur(e) Sûreté et Qualification - Alternance H/F,Assystem Eos Energie France,Alternance,Chessy,https://www.welcometothejungle.com/fr/companies/assystem-eos-energie-france/jobs/ingenieur-surete-et-qualification-alternance-h-f_chessy_ASSYS_AMAPGDq,2026-03-24,WTTJ,développeur python,
ALTERNANCE - Analyste production ALM H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-analyste-production-alm-h-f_montrouge,2026-03-24,WTTJ,développeur python,
Alternance - Consolidation des Risques H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-consolidation-des-risques-h-f_montrouge,2026-03-24,WTTJ,développeur python,
Alternance - Client Servicing Enhancer - H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-client-servicing-enhancer-h-f_paris,2026-03-24,WTTJ,développeur python,
Alternance - Chargé d'Analyse de Données Contrôle d'Accès - H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-charge-d-analyse-de-donnees-controle-d-acces-h-f_paris,2026-03-24,WTTJ,développeur python,
Stage ML Research Engineer,Sahar,Stage,Paris,https://www.welcometothejungle.com/fr/companies/sahar/jobs/stage-ml-research-engineer_paris,2026-03-24,WTTJ,développeur python,
STAGE 6 MOIS - SIMULATION DE LA PHOTOCATHODE DANS UN PHOTOMULTIPLICATEUR F/H,Sodern,Stage,Limeil-Brévannes,https://www.welcometothejungle.com/fr/companies/sodern/jobs/stage-6-mois-simulation-de-la-photocathode-dans-un-photomultiplicateur-f-h_limeil-brevannes_SODER_56P464a,2026-03-24,WTTJ,développeur python,
STAGE - Assistant Data Scientist - Mesures et réduction des biais des LLMs H/F,Groupe Credit Agricole,Stage,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-data-scientist-mesures-et-reduction-des-biais-des-llms-h-f_montrouge,2026-03-24,WTTJ,développeur python,
Stage - Stratégie énergétique d'un patrimoine - Paris (4 à 6 mois) - F/H,Arep,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arep/jobs/stage-strategie-energetique-d-un-patrimoine-paris-4-a-6-mois-f-h_paris,2026-03-24,WTTJ,développeur python,
STAGE - Assistant Data Analyst – Risques Climatiques H/F,Groupe Credit Agricole,Stage,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-data-analyst-risques-climatiques-h-f_montrouge,2026-03-24,WTTJ,développeur python,
Stage Septembre - Software Developer IA - F/H/N,Ovh,Stage,Roubaix,https://www.welcometothejungle.com/fr/companies/ovh/jobs/stage-septembre-software-developer-ia-f-h-n_roubaix,2026-03-24,WTTJ,développeur python,
Stage -Analyste quantitatif - H/F,Bnp Paribas,Stage,Levallois-Perret,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/stage-analyste-quantitatif-h-f_levallois,2026-03-24,WTTJ,développeur python,
STAGE DE CESURE - Ingénieure/ingénieur IT,Arianegroup,Stage,Saint-Médard-En-Jalles,https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/stage-ingenieure-ingenieur-it_saint-medard-en-jalles,2026-03-24,WTTJ,développeur python,
