titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
ALTERNANCE 12 MOIS - À partir de septembre 2026 - Data - Master 1/2,L Oreal,Alternance,Clichy,https://www.welcometothejungle.com/fr/companies/l-oreal/jobs/alternance-12-mois-a-partir-de-septembre-2026-data-master-1-2_clichy,2026-03-23,WTTJ,data,
ALTERNANCE - Data Scientist F/H,La Banque Postale,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/la-banque-postale/jobs/alternance-data-scientist-f-h_paris-6e-arrondissement,2026-03-23,WTTJ,data,
Data analyst - Opérations Epargne (F/H) alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-analyst-operations-epargne-f-h-alternance_nanterre,2026-03-23,WTTJ,data,
Data analyst Cybersécurité (F/H) alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-analyst-cybersecurite-f-h-alternance_nanterre,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst - F/H,Thales,Alternance,Toulouse,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-data-analyst-f-h_toulouse_THALE_N7g5rg1,2026-03-23,WTTJ,data,
ALTERNANCE - Business Data Analyst - F/H,Thales,Alternance,Meudon,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-business-data-analyst-f-h_meudon,2026-03-23,WTTJ,data,
Alternance - 1 an - Data Analyst (F/H) - Paris,Groupe Bpce,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-1-an-data-analyst-f-h-paris_paris-13e-arrondissement,2026-03-23,WTTJ,data,
Alternance Data Analyst marketing F/H,La Poste Service Courrier Colis,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/la-poste-service-courrier-colis/jobs/alternance-data-analyst-marketing-f-h_paris,2026-03-23,WTTJ,data,
Data engineer (F/H) en Alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-engineer-f-h-en-alternance_massy_CARRE_Jgk3Ll6,2026-03-23,WTTJ,data,
Alternance - Data Engineer Hadoop / GCP F/H - IDF,Groupe Bpce,Alternance,Charenton-Le-Pont,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-data-engineer-hadoop-gcp-f-h-idf_charenton-le-pont,2026-03-23,WTTJ,data,
Alternance - Chargé de Pilotage des flux et Data (F/H),Groupe Bpce,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-charge-de-pilotage-des-flux-et-data-f-h_paris-13e-arrondissement,2026-03-23,WTTJ,data,
"ALTERNANCE - Data analyst, digitalisation du SI - F/H",Thales,Alternance,Moirans,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-data-analyst-digitalisation-du-si-f-h_moirans,2026-03-23,WTTJ,data,
Data Ingénieur Transport et Relation Client (F/H) en Stage,Carrefour,Stage,Salon-De-Provence,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-ingenieur-transport-et-relation-client-f-h-en-stage_evry,2026-03-23,WTTJ,data,
Data Analyst (F/H) en Alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-analyst-f-h-en-alternance_massy_CARRE_b1Pb6wW,2026-03-23,WTTJ,data,
Data Analyst Prévisions (F/H) en Alternance,Carrefour,Alternance,Salon-De-Provence,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-analyst-previsions-f-h-en-alternance_evry,2026-03-23,WTTJ,data,
STAGE - DATA ANALYST PRODUIT F/H,Cdiscount,Stage,Bordeaux,https://www.welcometothejungle.com/fr/companies/cdiscount/jobs/stage-data-analyst-produit-f-h_bordeaux-33_CDISC_67kAQKw,2026-03-23,WTTJ,data,
Alternance – Gestion de la connaissance et données (Data & IA) F/H,Rte,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/rte/jobs/alternance-gestion-de-la-connaissance-et-donnees-data-ia-f-h_paris,2026-03-23,WTTJ,data,
ALTERNANCE - Data Scientist Bureau d'Etudes « Support et Services » F/H,Safran Aircraft Engines,Alternance,Melun,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/alternance-data-scientist-bureau-d-etudes-support-et-services-f-h_montereau,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst (F/H) - NANTES,Bpce Solutions Informatiques,Alternance,Saint-Herblain,https://www.welcometothejungle.com/fr/companies/bpce-solutions-informatiques/jobs/alternance-data-analyst-f-h-nantes_saint-herblain_BSI_G3mowxA,2026-03-23,WTTJ,data,
Analyste Data/IA - Stage (H/F),Ai Builders,Stage,Paris,https://www.welcometothejungle.com/fr/companies/ai-builders/jobs/analyste-data-ia-stage-h-f_paris_AB_YZ3WKXl,2026-03-23,WTTJ,data,
ALTERNANCE - Data & CRO Analyst (H/F),Lacoste,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/lacoste/jobs/alternance-data-cro-analyst-h-f_paris-16e-arrondissement,2026-03-23,WTTJ,data,
Consultant Data Analyst / Scientist - Stage FE (H-F),Arcane,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arcane/jobs/consultant-data-analyst-scientist-stage-fe-h-f_paris_ARCAN_6lqKbP7,2026-03-23,WTTJ,data,
Alternance - Data Engineer/Data Scientist (F/H) Paris,Bpce Solutions Informatiques,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/bpce-solutions-informatiques/jobs/alternance-data-engineer-data-scientist-f-h-paris_paris,2026-03-23,WTTJ,data,
Stage Consultant Data / Dev / Interface H/F,2pace,Stage,Paris,https://www.welcometothejungle.com/fr/companies/2pace/jobs/consultant-bi-tableau-crm-software-h-f_paris_2PACE_P7g72bx,2026-03-23,WTTJ,data,
ALTERNANCE - Data Privacy et Sécurité Informatique (F/H) - TOULOUSE,Bpce Solutions Informatiques,Alternance,Balma,https://www.welcometothejungle.com/fr/companies/bpce-solutions-informatiques/jobs/alternance-data-privacy-et-securite-informatique-f-h-toulouse_balma_BSI_A04jD0w,2026-03-23,WTTJ,data,
ALTERNANCE - Data Privacy et Sécurité Informatique (F/H) - TOULOUSE,Bpce Solutions Informatiques,Alternance,Balma,https://www.welcometothejungle.com/fr/companies/bpce-solutions-informatiques/jobs/alternance-data-privacy-et-securite-informatique-f-h-toulouse_balma,2026-03-23,WTTJ,data,
Stage PFE/césure juin 2026 Chargé d'études projets BTP – Data center – LE COUDRAY-MONTCEAUX (91) F/H,Vinci Construction Fr,Stage,Le Coudray-Montceaux,https://www.welcometothejungle.com/fr/companies/vinci-construction-fr/jobs/stage-pfe-charge-d-etudes-projets-data-center-le-coudray-montceaux-91-f-h_le-coudray-montceaux,2026-03-23,WTTJ,data,
Alternance - Assistant Data Management - H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-assistant-data-management-h-f_paris_GCA_xQqXNrr,2026-03-23,WTTJ,data,
Alternance - Data Analyst - Automatisation - H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-analyst-automatisation-h-f_paris,2026-03-23,WTTJ,data,
ALTERNANCE - ASSISTANT/ASSISTANTE  DATA ANALYST (H/F/X),Canal Group,Alternance,Issy-Les-Moulineaux,https://www.welcometothejungle.com/fr/companies/canal-group/jobs/alternance-assistant-assistante-data-analyst-h-f-x_issy-les-moulineaux,2026-03-23,WTTJ,data,
Stage Data SQL BI IA LLM - Dev SaaS Communautaire CRM,Alumnforce,Stage,Paris,https://www.welcometothejungle.com/fr/companies/alumnforce/jobs/stage-data-sql-bi-ia-llm-dev-saas-communautaire-crm_paris,2026-03-23,WTTJ,data,
